ResortName,RoomID,ArrivalDate,ResStatus,Roomtype_Holi,No_of_days_holidayed
Delhi,613,1/13/2013,Confirmed,1BR,4
Delhi,613,1/14/2013,Confirmed,1BR,4
Delhi,613,1/15/2013,Confirmed,1BR,4
Delhi,613,1/16/2013,Confirmed,1BR,4
Delhi,614,1/13/2013,Confirmed,1BR,4
Delhi,626,1/2/2013,Confirmed,HU,3
Delhi,627,1/2/2013,Confirmed,HU,3
Delhi,636,1/25/2013,Cancelled,STU,3
Delhi,637,1/25/2013,Cancelled,1BR,3
Delhi,660,1/26/2013,Cancelled,STU,2
Delhi,661,1/26/2013,Cancelled,STU,2
Delhi,662,1/26/2013,Cancelled,STU,2
Delhi,670,1/26/2013,Cancelled,STU,2
Delhi,671,1/26/2013,Cancelled,STU,2
Delhi,672,1/26/2013,Cancelled,STU,2
Delhi,676,1/13/2013,Confirmed,1BR,2
Delhi,712,1/26/2013,Confirmed,HU,6
Delhi,741,1/2/2013,Cancelled,HU,3
Delhi,742,1/2/2013,Cancelled,STU,3
Delhi,748,1/23/2013,Cancelled,1BR,4
Delhi,749,1/20/2013,Cancelled,STU,3
Delhi,765,1/28/2013,Cancelled,STU,3
Delhi,769,1/23/2013,Cancelled,1BR,3
Delhi,770,2/19/2013,Cancelled,HU,4
Delhi,774,1/23/2013,Cancelled,STU,3
Delhi,776,2/4/2013,Cancelled,STU,3
Delhi,778,2/1/2013,Confirmed,1BR,4
Delhi,779,1/1/2013,Cancelled,1BR,4
Delhi,787,2/5/2013,Confirmed,STU,2
Delhi,788,2/5/2013,Confirmed,STU,2
Delhi,789,2/5/2013,Confirmed,HU,2
Delhi,792,1/22/2013,Cancelled,STU,3
Delhi,793,1/11/2013,Confirmed,1BR,2
Delhi,794,1/23/2013,Cancelled,STU,5
Delhi,795,1/4/2013,Cancelled,1BR,3
Delhi,804,2/17/2013,Confirmed,STU,1
Delhi,807,2/8/2013,Cancelled,STU,3
Delhi,814,1/24/2013,Cancelled,STU,3
Delhi,815,1/24/2013,Cancelled,STU,3
Delhi,821,1/1/2013,Cancelled,STU,5
Delhi,824,1/1/2013,Cancelled,STU,2
Delhi,830,2/6/2013,Cancelled,STU,2
Delhi,843,2/19/2013,Cancelled,STU,3
Delhi,848,1/4/2013,Cancelled,STU,3
Delhi,873,1/9/2013,Confirmed,STU,3
Delhi,887,2/9/2013,Confirmed,STU,2
Delhi,888,2/9/2013,Confirmed,STU,2
Delhi,891,1/26/2013,Cancelled,1BR,2
Delhi,896,1/26/2013,Cancelled,1BR,2
Delhi,897,1/26/2013,Cancelled,1BR,2
Delhi,902,2/19/2013,Cancelled,STU,3
Delhi,911,1/3/2013,Confirmed,1BR,3
Delhi,915,2/23/2013,Cancelled,STU,2
Delhi,916,1/4/2013,Cancelled,1BR,3
Delhi,918,1/19/2013,Cancelled,STU,3
Delhi,920,1/3/2013,Confirmed,STU,3
Delhi,922,1/10/2013,Cancelled,STU,3
Delhi,923,1/10/2013,Cancelled,STU,3
Delhi,933,2/23/2013,Cancelled,1BR,3
Delhi,934,2/23/2013,Cancelled,STU,3
Delhi,949,1/13/2013,Cancelled,1BR,3
Delhi,950,1/13/2013,Cancelled,1BR,3
Delhi,958,1/12/2013,Cancelled,STU,3
Delhi,959,1/20/2013,Confirmed,STU,3
Delhi,960,1/20/2013,Confirmed,STU,3
Delhi,961,1/24/2013,Confirmed,1BR,3
Delhi,962,1/24/2013,Confirmed,1BR,3
Delhi,966,1/24/2013,Cancelled,1BR,3
Delhi,967,2/17/2013,Confirmed,STU,3
Delhi,968,1/1/2013,Cancelled,1BR,2
Delhi,971,1/18/2013,Cancelled,STU,6
Delhi,991,1/2/2013,Confirmed,STU,1
Delhi,992,1/1/2013,Confirmed,1BR,4
Delhi,993,1/1/2013,Confirmed,1BR,4
Delhi,994,1/1/2013,Confirmed,STU,4
Delhi,1005,2/16/2013,Cancelled,1BR,7
Delhi,1006,2/16/2013,Cancelled,1BR,7
Delhi,1024,1/2/2013,Confirmed,STU,3
Delhi,1025,1/4/2013,Cancelled,STU,3
Delhi,1026,1/4/2013,Cancelled,STU,3
Delhi,1051,1/1/2013,Confirmed,STU,1
Delhi,1058,2/13/2013,Confirmed,STU,2
Delhi,1061,3/4/2013,Cancelled,1BR,12
Delhi,1062,3/2/2013,Cancelled,STU,3
Delhi,1063,3/2/2013,Cancelled,STU,3
Delhi,1065,3/27/2013,Cancelled,1BR,5
Delhi,1066,3/17/2013,Confirmed,STU,4
Delhi,1127,3/19/2013,Cancelled,1BR,2
Delhi,1168,3/15/2013,Cancelled,STU,3
Delhi,1169,3/15/2013,Cancelled,STU,3
Delhi,1172,1/1/2013,Confirmed,1BR,4
Delhi,1184,1/19/2013,Cancelled,STU,3
Delhi,1188,1/26/2013,Cancelled,1BR,3
Delhi,1189,1/26/2013,Cancelled,1BR,3
Delhi,1192,1/25/2013,Cancelled,1BR,3
Delhi,1193,1/25/2013,Cancelled,1BR,3
Delhi,1194,1/25/2013,Cancelled,1BR,3
Delhi,1214,2/10/2013,Confirmed,STU,3
Delhi,1215,2/10/2013,Confirmed,STU,3
Delhi,1217,2/24/2013,Confirmed,1BR,5
Delhi,1224,1/27/2013,Cancelled,1BR,3
Delhi,1225,1/26/2013,Cancelled,HU,3
Delhi,1226,1/26/2013,Cancelled,HU,3
Delhi,1227,1/26/2013,Cancelled,HU,3
Delhi,1228,1/26/2013,Cancelled,HU,3
Delhi,1229,1/27/2013,Cancelled,HU,3
Delhi,1230,1/27/2013,Cancelled,HU,3
Delhi,1231,1/27/2013,Cancelled,HU,3
Delhi,1234,1/1/2013,Cancelled,1BR,5
Delhi,1238,1/2/2013,Confirmed,STU,3
Delhi,1244,3/16/2013,Cancelled,STU,2
Delhi,1245,2/22/2013,Cancelled,1BR,4
Delhi,1247,1/26/2013,Cancelled,STU,2
Delhi,1248,1/26/2013,Cancelled,STU,2
Delhi,1249,3/13/2013,Confirmed,1BR,3
Delhi,1263,3/17/2013,Cancelled,HU,4
